,longitude,latitude,arvT,levT,stayTime,distance
106,111.158012,25.483518,3/17/2019 13:06,3/17/2019 13:29,1343,0
107,111.133049,25.439167,3/17/2019 13:40,3/17/2019 13:45,309,0.111194926
108,111.132965,25.439121,3/17/2019 13:45,3/17/2019 13:56,682,0
109,111.133308,25.439542,3/17/2019 14:37,3/17/2019 14:44,396,0
110,111.133049,25.43914,3/17/2019 15:25,3/17/2019 15:48,1401,0
111,111.133033,25.43913,3/17/2019 15:48,3/17/2019 17:36,6432,0
112,111.15802,25.483535,3/17/2019 18:49,3/18/2019 8:04,47723,0
113,111.133041,25.439151,3/18/2019 8:18,3/18/2019 12:19,14476,0
114,110.327186,25.270425,3/18/2019 16:06,3/18/2019 16:37,1857,0
115,110.304428,25.352956,3/18/2019 17:29,3/18/2019 20:29,10779,0
116,110.304405,25.353034,3/18/2019 20:29,3/18/2019 20:39,577,0
117,110.276695,25.249162,3/18/2019 21:57,3/18/2019 23:49,6713,0
118,110.32772,25.264842,3/19/2019 1:23,3/19/2019 1:45,1281,0
119,110.327659,25.264871,3/19/2019 1:45,3/19/2019 10:48,32582,0
120,110.305404,25.352199,3/19/2019 12:42,3/19/2019 14:15,5563,0
121,110.302482,25.356367,3/19/2019 14:19,3/19/2019 14:42,1372,0.33358478
122,110.300361,25.341888,3/19/2019 14:53,3/19/2019 15:00,386,0
123,110.300354,25.341823,3/19/2019 15:00,3/19/2019 15:05,308,0
124,110.302177,25.32851,3/19/2019 15:14,3/19/2019 15:34,1189,0
125,110.30429,25.317819,3/19/2019 15:41,3/19/2019 16:49,4086,0
126,110.305458,25.318506,3/19/2019 16:51,3/19/2019 18:40,6492,0
127,110.297683,25.303373,3/19/2019 18:53,3/19/2019 19:58,3879,0.222389853
128,110.19342,25.246553,3/20/2019 11:32,3/20/2019 11:51,1191,0
129,110.193443,25.24653,3/20/2019 11:51,3/20/2019 12:15,1412,0
130,110.178558,25.258529,3/20/2019 12:40,3/20/2019 12:49,532,0
131,110.175735,25.23406,3/20/2019 12:56,3/20/2019 13:31,2088,0
132,110.195281,25.246559,3/20/2019 13:39,3/20/2019 14:10,1874,0.222389853
133,110.201866,25.246534,3/20/2019 14:18,3/20/2019 15:18,3559,0
134,110.324195,25.243164,3/20/2019 16:29,3/20/2019 17:32,3745,0
135,110.306365,25.354524,3/20/2019 18:56,3/20/2019 19:12,941,0
136,110.3115,25.316652,3/21/2019 9:19,3/21/2019 9:29,583,0
137,110.304283,25.317708,3/21/2019 9:35,3/21/2019 18:07,30712,0.222389853
138,110.303764,25.352027,3/22/2019 9:57,3/22/2019 10:10,757,0
139,110.507705,24.747655,3/22/2019 13:08,3/22/2019 13:30,1311,0
140,110.507675,24.747686,3/22/2019 13:30,3/22/2019 13:56,1567,0
141,110.653388,24.627021,3/22/2019 15:03,3/22/2019 17:26,8532,0
142,110.66262,24.624347,3/22/2019 17:43,3/22/2019 17:58,894,0.222389853
143,110.652915,24.627429,3/22/2019 19:00,3/22/2019 20:14,4422,0
144,110.664772,24.625352,3/22/2019 20:23,3/23/2019 10:15,49910,0
145,110.69358,24.775131,3/23/2019 11:23,3/23/2019 12:08,2653,0
146,110.695869,24.777231,3/23/2019 12:29,3/23/2019 13:08,2284,0
147,110.851295,24.835304,3/23/2019 13:36,3/23/2019 14:12,2160,0
148,110.84848,24.835798,3/23/2019 14:15,3/23/2019 14:32,1060,0
149,110.820945,24.841903,3/23/2019 16:38,3/23/2019 16:51,756,0
150,110.816505,24.836196,3/23/2019 16:55,3/23/2019 19:25,8981,0
151,110.325401,25.30039,3/23/2019 21:49,3/25/2019 12:59,54608,0
152,110.224838,25.30598,3/25/2019 13:18,3/25/2019 13:24,360,0.444779707
153,110.159507,25.242618,3/25/2019 13:47,3/25/2019 13:54,405,0
154,109.387229,24.285572,3/25/2019 18:22,3/26/2019 8:50,52054,0
155,109.382591,24.325906,3/26/2019 9:14,3/26/2019 10:58,6263,0
156,109.387573,24.327522,3/26/2019 11:01,3/26/2019 15:55,17621,0
157,109.381729,24.326887,3/26/2019 16:24,3/26/2019 17:23,3554,0
158,109.38311,24.314912,3/26/2019 17:55,3/26/2019 18:03,492,0
159,109.259475,24.223508,3/27/2019 9:34,3/27/2019 9:39,302,0
160,109.258071,24.179069,3/27/2019 9:43,3/27/2019 9:54,641,0
161,109.247207,24.111967,3/27/2019 9:57,3/27/2019 10:04,387,0
162,109.245933,23.987068,3/27/2019 10:25,3/27/2019 10:44,1140,0
163,109.251899,23.855632,3/27/2019 11:44,3/27/2019 11:58,868,0
164,109.212432,23.75888,3/27/2019 12:08,3/27/2019 12:24,960,0
165,109.208778,23.732158,3/27/2019 12:59,3/27/2019 16:56,14219,0
166,109.210746,23.756946,3/27/2019 17:09,3/28/2019 10:51,63729,0
167,109.253997,23.829027,3/28/2019 10:51,3/28/2019 11:28,2189,0
168,109.253471,24.056245,3/28/2019 11:29,3/28/2019 11:45,962,0
169,109.308265,24.261459,3/28/2019 12:09,3/28/2019 12:24,914,0
170,109.338783,24.313619,3/28/2019 12:24,3/28/2019 12:58,2043,0
171,109.345428,24.517105,3/28/2019 13:02,3/28/2019 13:30,1706,0
172,109.359848,24.564844,3/28/2019 13:31,3/28/2019 14:44,4412,0
173,109.337814,25.073272,3/28/2019 14:46,3/28/2019 15:09,1402,0
174,109.396194,25.215435,3/28/2019 15:12,3/28/2019 19:20,14892,0
175,109.404808,25.224168,3/28/2019 19:20,3/28/2019 19:26,359,0
176,109.407394,25.219753,3/28/2019 19:26,3/29/2019 10:00,52412,0
177,109.407585,25.219787,3/29/2019 10:00,3/29/2019 10:44,2631,0
178,109.450347,25.372879,3/29/2019 10:44,3/29/2019 12:07,5007,0
179,109.681304,25.764667,3/29/2019 12:07,3/30/2019 17:20,18752,0
180,110.324287,25.243101,3/30/2019 17:20,3/30/2019 18:12,3170,0
181,110.304435,25.352989,3/31/2019 12:17,3/31/2019 12:22,315,0
182,110.303802,25.318311,3/31/2019 13:22,3/31/2019 13:42,1210,0
183,110.30384,25.318344,3/31/2019 13:42,3/31/2019 16:26,9833,0
184,110.170547,25.231716,3/31/2019 17:56,3/31/2019 19:35,5959,0
185,110.304458,25.353343,3/31/2019 20:36,4/1/2019 9:12,45341,0
186,110.303825,25.318477,4/1/2019 9:34,4/1/2019 12:28,10444,0
187,110.195861,25.250379,4/1/2019 14:28,4/1/2019 17:07,9512,0
188,110.672645,25.61465,4/2/2019 13:39,4/2/2019 14:05,1555,0
189,110.668357,25.596445,4/2/2019 14:20,4/2/2019 14:30,572,0
190,110.668502,25.596456,4/2/2019 14:30,4/2/2019 14:47,1026,0
191,110.30442,25.35301,4/2/2019 16:38,4/4/2019 10:37,64696,0
192,110.304443,25.353076,4/4/2019 10:37,4/4/2019 11:03,1607,0
193,110.300575,25.341821,4/4/2019 11:06,4/4/2019 11:40,2078,0
194,110.300819,25.328775,4/4/2019 11:45,4/4/2019 11:52,420,0
195,110.305252,25.318572,4/4/2019 12:07,4/4/2019 13:27,4815,0
196,111.15802,25.483499,4/4/2019 18:32,4/4/2019 19:41,4125,0
197,111.153656,25.501142,4/4/2019 21:05,4/4/2019 21:23,1097,0
198,111.153663,25.501138,4/4/2019 21:23,4/4/2019 22:11,2867,0
199,111.158042,25.483488,4/4/2019 22:24,4/5/2019 8:55,37868,0.111194926
200,111.135353,25.474376,4/5/2019 9:02,4/5/2019 9:14,756,0
201,111.108398,25.469829,4/5/2019 10:26,4/5/2019 12:03,5800,0
202,111.119506,25.441751,4/5/2019 12:17,4/5/2019 12:30,784,0
203,111.098937,25.411773,4/5/2019 12:33,4/5/2019 12:40,406,0
204,111.119483,25.441749,4/5/2019 12:46,4/5/2019 15:06,8389,0
205,111.109466,25.416528,4/5/2019 15:17,4/5/2019 16:12,3254,0
206,111.158004,25.48351,4/5/2019 16:38,4/5/2019 16:47,562,0
207,111.158035,25.483509,4/5/2019 17:29,4/5/2019 20:19,10211,0
208,111.158004,25.483518,4/5/2019 20:20,4/5/2019 20:46,1581,0
209,111.154037,25.501003,4/5/2019 21:07,4/6/2019 1:19,15141,0
210,111.154029,25.500997,4/6/2019 1:19,4/6/2019 1:25,344,0
211,111.15802,25.483514,4/6/2019 1:26,4/6/2019 7:31,21901,0.444779706
212,111.133308,25.439514,4/6/2019 7:49,4/6/2019 7:56,440,0
213,111.133316,25.439533,4/6/2019 8:24,4/6/2019 12:05,13281,0
214,111.133377,25.439662,4/6/2019 12:07,4/6/2019 13:14,4044,0
215,111.133346,25.439575,4/6/2019 16:02,4/6/2019 17:21,4705,0
216,111.158042,25.483484,4/6/2019 17:48,4/7/2019 8:26,52703,0
217,111.154693,25.487285,4/7/2019 8:36,4/7/2019 9:27,3051,0
218,111.158187,25.484025,4/7/2019 9:27,4/7/2019 11:05,5882,0
219,111.155181,25.492408,4/7/2019 11:11,4/7/2019 11:24,745,0
220,111.158134,25.484024,4/7/2019 11:27,4/7/2019 13:06,5943,0
221,110.311988,25.31632,4/7/2019 18:58,4/7/2019 20:22,5047,0.222389853
